0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,1
0.68,0.55,0.2,1.596,0.525,0.4075,0.585,0
0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,0
0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,0
0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,0
0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,0
0.42,0.345,0.105,0.43,0.175,0.096,0.13,1
0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,1
0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,1
0.42,0.34,0.115,0.4215,0.175,0.093,0.135,1
0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,0
0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,0
0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,0
0.565,0.47,0.195,1.142,0.387,0.258,0.35,0
0.595,0.495,0.235,1.366,0.5065,0.219,0.52,0
0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,0
0.43,0.325,0.12,0.445,0.165,0.0995,0.155,1
0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,0
0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,1
0.515,0.415,0.13,0.764,0.276,0.196,0.25,0
0.495,0.39,0.15,0.853,0.3285,0.189,0.27,0
0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,0
0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,1
0.58,0.465,0.175,1.035,0.401,0.1865,0.385,0
0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,0
0.555,0.455,0.18,0.958,0.296,0.195,0.39,0
0.55,0.425,0.145,0.797,0.297,0.15,0.265,1
0.59,0.475,0.155,0.857,0.356,0.174,0.28,0
0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,1
0.275,0.2,0.075,0.086,0.0305,0.019,0.03,1
0.505,0.39,0.175,0.692,0.267,0.15,0.215,0
0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,1
0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,0
0.505,0.4,0.165,0.729,0.2675,0.155,0.25,1
0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,1
0.595,0.475,0.17,1.0965,0.419,0.229,0.35,0
0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,0
0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,0
0.56,0.435,0.185,1.106,0.422,0.2435,0.33,0
